========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
252      OK       2252.72 ± 0.41 (2252.06-2253.31)     111.9        13667.8       54.2      28.1%
253      OK       2260.28 ± 1.21 (2258.89-2263.41)     111.9        13673.3       54.0      28.1%
254      OK       2273.09 ± 1.04 (2271.54-2275.46)     111.7        13687.6       53.9      28.1%
255      OK       2280.53 ± 0.82 (2279.47-2281.98)     111.8        13696.6       53.7      28.1%
256      OK       2335.82 ± 1.27 (2334.43-2339.16)     109.6        13710.5       53.6      28.2%
------------------------------------------------------------------------------------------------------------------------
PERFORMANCE ANALYSIS:
------------------------------------------------------------
Optimal Configurations:
├─ Best Throughput:
│  ├─ Batch Size: 230
│  ├─ Throughput: 112.1 samples/sec
│  ├─ Latency: 2052.61 ms
│  └─ Memory: 13388.2 MB
├─ Best Latency:
│  ├─ Batch Size: 1
│  ├─ Latency: 34.19 ± 4.32 ms
│  └─ Throughput: 29.2 samples/sec
Scaling Analysis:
├─ Batch Size Range: 1 → 256
├─ Throughput Scaling: 3.75x
├─ Latency Scaling: 68.32x
└─ Memory Scaling: 1.30x
System Information:
├─ Device: NVIDIA RTX A6000
├─ CUDA Version: 12.4
├─ Compute Capability: 8.6
└─ Total GPU Memory: 48669.8 MB
Test Configuration:
├─ Model Configuration:
│  ├─ Name: ViT-G/16
│  ├─ Type: ViTG16ForImageClassification
│  ├─ Parameters: 1,847,410,920
│  └─ Input Shape: (3, 224, 224)
├─ Dataset Configuration:
│  ├─ Name: CIFAR-10
│  ├─ Size: 5,000 samples
│  └─ Input Shape: (3, 224, 224)
└─ Test Parameters:
   ├─ Warmup Runs: 3
   ├─ Measurement Runs: 10
   ├─ Batch Size Step: 1
   └─ Early Stopping Threshold: 0.01
========================================================================================================================
