========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
263      OK       265.96 ± 0.85 (265.28-268.30)     988.9         3200.4       12.2       6.6%
264      OK       263.74 ± 0.98 (262.95-266.27)    1001.0         3213.5       12.2       6.6%
265      OK       267.98 ± 0.76 (267.45-270.07)     988.9         3223.8       12.2       6.6%
266      OK       269.00 ± 0.67 (268.30-270.37)     988.9         3234.8       12.2       6.6%
267      OK       270.68 ± 0.99 (270.07-273.59)     986.4         3247.9       12.2       6.7%
268      OK       267.43 ± 0.78 (266.71-269.66)    1002.1         3258.2       12.2       6.7%
269      OK       272.36 ± 0.61 (271.95-274.12)     987.7         3271.3       12.2       6.7%
270      OK       272.77 ± 0.78 (272.05-274.55)     989.8         3284.5       12.2       6.7%
271      OK       273.79 ± 1.18 (273.19-277.30)     989.8         3295.4       12.2       6.8%
272      OK       271.81 ± 1.35 (270.92-275.51)    1000.7         3307.1       12.2       6.8%
273      OK       276.26 ± 0.55 (275.74-277.75)     988.2         3318.4       12.2       6.8%
274      OK       276.76 ± 1.06 (276.11-279.89)     990.0         3329.1       12.1       6.8%
275      OK       277.70 ± 0.55 (277.11-279.10)     990.3         3340.9       12.1       6.9%
276      OK       275.86 ± 0.53 (275.35-277.28)    1000.5         3353.9       12.2       6.9%
277      OK       279.86 ± 0.82 (279.18-281.96)     989.8         3365.2       12.1       6.9%
278      OK       281.30 ± 1.16 (280.62-284.67)     988.3         3377.2       12.1       6.9%
279      OK       281.74 ± 0.71 (281.03-283.34)     990.3         3389.7       12.1       7.0%
280      OK       279.79 ± 0.85 (279.14-282.23)    1000.8         3402.3       12.2       7.0%
281      OK       284.37 ± 0.68 (283.70-286.13)     988.1         3412.8       12.1       7.0%
282      OK       284.80 ± 0.77 (284.19-286.92)     990.2         3424.3       12.1       7.0%
283      OK       285.70 ± 0.80 (285.03-287.78)     990.6         3437.6       12.1       7.1%
